Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPUF30062	US	NEO PLANET	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00680_00/IhrMgWHJfKSUlTdxmbYvzxmJhwuFMaUGbMsqcWHTUrKIOImBSUGkHjNoxmcZaIYLELouNFRTWNNqbxxMgIMxXNhzYZxiDJMxqTlhw.pkg	JP0747-NPUF30062_00-0000000000000001	2017-11-14 22:16:05		83864816	95502448cfd071cd8e5cb5169eb78616ad77a65e502157b6555796102dd3dd66
NPUF30063	US	Heroine Dream 2	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00686_00/vdpfTpdIAtFWHTMdFLxYZcHGrZyjqaAsaoTJVrNLhucubyrRwaeRsIpylQUGWHMQddThjBppwbMQrfbYcHSrVmmZHQGMIawoMDmqY.pkg	JP0747-NPUF30063_00-0000000000000001	2017-11-14 22:15:53		444443136	027df015ed6dba4da49609ffe71ee6090d7a2f5b57fff796c7ebbb16a56316e1
NPUF30064	US	Heroine Dream	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00685_00/SqvZhyNWwHHUpEPFqUpgceyyZHulBuPzvuLBEVxshqlWocSkKIILTidoLAiUKfhJIotnYJaXvmzgcAujCEZkEONoulPlHiPXVWRkh.pkg	JP0747-NPUF30064_00-0000000000000001	2017-11-14 13:49:20		262794240	5f1f27b9830d1376b48e25bf21b05483cd0c91a35b2ea4772f3e781a943f2f49
NPUF30065	US	Dragon Beat Legend of Pinball 	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00681_00/kDBIYtzKKbFAukNxAShSDNMcqTGRkyPxGdHaPWdRplOmHTcpppnmKGsiUQywhtjekuzLBwlasVlIFaDMnVFrBdWhDjNhRVajdNVOg.pkg	JP0747-NPUF30065_00-0000000000000001	2017-11-09 11:41:43		203765888	ff6b68c553abaaf030d7d520eb41a2157b901926d109534460693310b95a114c
NPUI00571	US	Vib-Ribbon 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI00571_00/AohAnvUWgMaMsmeiuQmNvPnBNCjZGpERqFrwPfTeOnrTULmiLzXWBtrXbYEECcGR.pkg	UP9000-NPUI00571_00-0000000000000001	2017-10-30 15:55:05		27909024	f24a909f9dda1aade1bac53375ea9b94db4082de19e221e5da4f239bd22b5ca0
NPUI94103	US	Jumping Flash! 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94103_00/4StqNd048WQFXjr6muRdWueQB2uCt7LtjxF3T6ULRugqmYYJPUcgKTAfxidyraocKe0MCmU9BaL2R62cehHxCL8OB7qnuqmJdrWLt.pkg	UP9000-NPUI94103_00-0000000000000001	2017-10-30 15:55:05		282028944	991e7fc0e53eb1399428810aa7cf50770cdf4a085c21292b37e65e10aa8a0181
NPUI94108	US	Jumping Flash! 2 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94108_00/n02nOMMOfS33IWmPbJ3csWe6MA4soLajLYkDGHukUvuymMWeeonyoLfPmgoclP2Ppy5qDHnRn3h2yXaGeNfP1Gyi73NBU8kJVja54.pkg	UP9000-NPUI94108_00-0000000000000001	2017-10-30 15:55:05		282020192	2bf71e3a33b89e7056d590c0c5553be52862dbeb7545040440693a1cf4d2c270
NPUI94154	US	Crash Bandicoot 2: Cortex Strikes Back 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94154_00/9cshcpwoE1lsKOvng68CTEuqOIIuK3qNoR8YvW4XaaXomgkgPJh9ePXCE2kIPxvFsPhTs8sGuMWcKLtOaySq0RfTOLsjaFpGq3YjG.pkg	UP9000-NPUI94154_00-0000000000000001	2017-10-30 15:55:05		107711808	9ec9b04c88df9f97b973114d15180f8f48610f424012e52f4bdfde4e40970df8
NPUI94167	US	Jet Moto 2 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94167_00/XfKFuP9lyPK8L0QEp4NEDFeXJKHWS7Mvc7JKaa5JUrDJqRGlfAHaLhkk8ksXMgxow6vYNb6ddO8VdXGL7aTVFpJd0g5TRTBWso14K.pkg	UP9000-NPUI94167_00-0000000000000001	2017-10-30 15:55:05		120412208	e4e889ddbdde753ae7b5b14a0f86772baf30612dc4341ef40f0a20a4f9af28ee
NPUI94199	US	Bloody Roar 	http://zeus.dl.playstation.net/cdn/UP9000/NPUI94199_00/TguU5dDeGSmWA9wFA6Fd0JBQop8QDQnjI5laPYLdUuPClRQM59bcUgVPQxWaOHlpKW6peKlcyMfq9WpAJXb8gUloyHvGPKgT3Qdw0.pkg	UP9000-NPUI94199_00-0000000000000001	2017-10-30 15:55:05		327911824	b386e3436143999864191066f60169f6c0be93378e04f8a726eecb93bce3a30f
