Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUZ00099	US	Minis	Pallurikio (Minis)	http://zeus.dl.playstation.net/cdn/UP4125/NPUZ00099_00/cnN3CVM9u601GeXyWEcqYAJPT3cs79ifistSyRKY39nDQK3lxWtuV1jcxo1qaA5OI5hsNsvkHVNLHhgCYJFCyVH890s7GxiX1Wnnj.pkg	UP4125-NPUZ00099_00-PALLURIKIOPSMINI	2017-10-30 15:53:52			22763824	b676376d24568d1e5a1bee156a398d820e18bf24e55721332b70ce6d3a8ae1b4
NPUZ00103	US	Minis	Arcade Air Hockey & Bowling (Minis)	http://zeus.dl.playstation.net/cdn/UP4090/NPUZ00103_00/5T0h9FsNmvpNwn9w8N3lBSs2pbGl8Sy3Rbsov8899kIgKkI1V93a0WQffbPye0kJrPOk4Rn0fggf8h6aAhSy1aQ2bor3hMNf70JwX.pkg	UP4090-NPUZ00103_00-ARCADESPORTSAHBO	2017-10-30 15:53:52			24580128	208d32a2a58525c3bee22755590cd3710faad6dbf75c06f7c0c824997463d041
NPUZ00104	US	Minis	4×4 Jam (Minis)	http://zeus.dl.playstation.net/cdn/UP4147/NPUZ00104_00/fgFs5J6vGFlPrNEw2os4OJVUWX84HYVSJfc32YX9qvKhw5eBYG4FltAMy455aVsjP8jWpPpjKIsJc1B1MurnrBh9fGpvdh8gGhfDG.pkg	UP4147-NPUZ00104_00-4X4JAMPSPMINISUS	2017-10-30 15:53:52			53314272	38d905d96499034ff435c5ddb50fabc4a69bbfb5977a1c72c498a5235fc6780c
NPUZ00108	US	Minis	Fly Fu (Minis)	http://zeus.dl.playstation.net/cdn/UP4147/NPUZ00108_00/fnRSdcIncUI6dyfEv4rq6OKq2UOriODORAVdiirr1N6tLWGPfBhPgFisTU8WFFWDLFdCpwnGGAdUI37OrvjjKc9OtKRlmMROlsLPA.pkg	UP4147-NPUZ00108_00-FLYFUPSPMINISEUS	2017-10-30 15:53:52			20409376	3e50afdee534a38d68418afe264fe529ce3f4abcc4d77208980be756dddabdca
NPUZ00109	US	Minis	Ace Armstrong Vs. The Alien Scumbags! (Minis)	http://zeus.dl.playstation.net/cdn/UP4132/NPUZ00109_00/xSH8m4AbUyNmO8gg9CashFo0w2pBx64uRBvHXhvX25MOoOCFPLSw7HanMQsySEDOJUjrP1NXYOY9cdaCEb8KB2VH5ESwAJClXesIi.pkg	UP4132-NPUZ00109_00-AAVTAS0000000001	2017-10-30 15:53:52			41730944	40c8cb02bc8abb7c25612a4e0127fdf2bfc6d75e776f9fb0e05ffee3e39c5e58
NPUZ00110	US	Minis	Actual Crimes: Jack The Ripper (Minis)	http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00110_00/Nq71xE96rCqOeyX5HX9MOA4UW7gyOTG2IMrYUJNTcu9hsbPMsOyUSBPNMvgedhe185T7YAF67j1XngKeykg9QLDkW1Iy7Oegdomni.pkg	UP4082-NPUZ00110_00-SANUKGAMES000008	2017-10-30 15:53:52			88796736	ba34c3e6d2521a79cde5d019e014c891fe056678c8dc5acebda8f16fd2cb9791
NPUZ00111	US	Minis	Shapo (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00111_00/Xv7woYYv20q8xXiJljp2M3jfLcxrD4r1eY2wPDrdCaNoSqdYIMQ2adE4bkdxeRNiioF2e6nIwObPErSG4vUcN6OS5ovOjawDVp0Bp.pkg	UP2016-NPUZ00111_00-SHAPO00000000000	2017-10-30 15:53:52			9814432	496fabcf63648255851b554ff23e71c3a5ee84d9396c064d6196a626cc42103c
NPUZ00112	US	Minis	Caterpillar (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00112_00/hoSHARWLnUm4CVRk8BUXLeLWyjhmKA46c3rlHx6atDI5FbkuC7fqxfiaImPJ9RFU6Vq4fk6wCMTL7NR0b0WYWbBiJOW2bL5L75Rmx.pkg	UP2016-NPUZ00112_00-CATERPILLAR00000	2017-10-30 15:53:52			10744720	aecedbc17f6968ca8d3fd9f9208a92986bdc2162ef336c8f3df2dde7888defcb
NPUZ00113	US	Minis	Panda Craze (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00113_00/rYm5ConQtpHNxgoSJVC6GThvnmgldGOM4m34Rc0krgVi9weBt2tN30ufKkFknSse3ARfaeuBIuQ5FLopI2oioJoCdfN8VTjc2qVL1.pkg	UP2016-NPUZ00113_00-PANDACRAZE000000	2017-10-30 15:53:52			12254976	49fad41e6a45e0ec640fdf6db0f8dc6ac22a2d86f42d601f8c39e874377ed30e
NPUZ00114	US	Minis	Arctic Adventures: Polars Puzzles (Minis)	http://zeus.dl.playstation.net/cdn/UP4168/NPUZ00114_00/cH9wE5JMyQgy9TIDaLOoc7FDsAiHvO4t4PraW2unxJEb2T87uYi4uu8dlvqc4D1CkXykuF1L4rjKk7A8U9Ktm6KM9ET9Vc5hfjBct.pkg	UP4168-NPUZ00114_00-ARCTIC0000000001	2017-10-30 15:53:52			21454144	680eb69e1441a6fdb90d4e8a73aa3274f2ff7675c83bec48ce8f8653298d04a2
